target,preds
0,0.252398076
1,0.81830248
1,0.449383756
0,0.188880601
1,0.897089504
1,0.772781336
0,0.186580654
0,0.207551746
0,0.297239615
0,0.059514089
0,0.117531365
0,0.421928686
0,0.02180619
0,0.386088233
1,0.574122469
0,0.064606286
0,0.158744941
0,0.283579153
0,0.066220066
0,0.05097147
0,0.060774998
1,0.795314189
1,0.659765766
1,0.52311838
0,0.096199449
0,0.086735286
0,0.089819025
0,0.316655427
0,0.039764898
0,0.341664151
0,0.134824364
0,0.11909735
0,0.093041578
0,0.517633688
0,0.09820695
0,0.078474545
1,0.690919013
0,0.414598127
0,0.409943477
1,0.770528373
0,0.148750638
0,0.111082619
0,0.132939522
0,0.281167111
1,0.892378702
0,0.31600359
0,0.334931767
1,0.584715477
0,0.105277006
0,0.173998986
0,0.008718606
0,0.366146947
0,0.121179605
0,0.065797976
0,0.090619012
0,0.077025661
0,0.190564294
1,0.903650093
1,0.962373658
0,0.045551414
0,0.311527266
0,0.081360079
0,0.124407209
0,0.236921524
0,0.050464828
0,0.062610424
0,0.036236767
0,0.020814057
0,0.087652867
0,0.184683922
0,0.633638997
0,0.285796184
1,0.39982767
0,0.104865836
0,0.256471979
1,0.891674438
0,0.109762053
0,0.164430743
0,0.233928325
0,0.177069663
0,0.112758644
0,0.112601688
0,0.067789623
0,0.034119261
0,0.043763924
0,0.118168147
0,0.170264394
1,0.659750218
0,0.095803911
0,0.127030036
0,0.102268407
0,0.21016464
0,0.455103199
0,0.424053377
0,0.075278199
1,0.194454436
0,0.075066676
0,0.201931802
0,0.106631575
0,0.00494348
0,0.140152583
1,0.175724846
0,0.064498372
0,0.037082011
0,0.129297918
0,0.0774602
0,0.085567532
0,0.11365599
1,0.853330867
0,0.02676819
0,0.083650387
1,0.600484737
1,0.859819964
0,0.118075754
0,0.161006858
1,0.505341257
0,0.561046038
1,0.173588284
0,0.075196338
0,0.096056752
0,0.055750405
0,0.158968876
0,0.093308671
0,0.602975093
0,0.205877885
0,0.056811424
1,0.257001282
0,0.166933154
0,0.093775112
0,0.061192695
0,0.091131539
0,0.049799181
0,0.014604583
1,0.199810317
1,0.129405486
0,0.046166552
0,0.090406073
0,0.168532016
0,0.030881652
1,0.690953663
1,0.97765135
1,0.775489167
0,0.084066326
0,0.081989971
1,0.190648778
1,0.486603855
0,0.241968379
0,0.119717163
0,0.04926162
0,0.775808517
1,0.574199898
0,0.244135297
0,0.28624881
0,0.072208886
1,0.670890867
0,0.093299538
0,0.510011226
0,0.044189027
0,0.067125252
0,0.403117381
0,0.021644418
1,0.71740794
1,0.787014983
0,0.103849332
0,0.716263004
0,0.034862503
0,0.150008468
0,0.293468197
0,0.071983064
0,0.19321195
0,0.045482927
1,0.849925688
0,0.070557533
0,0.115494524
1,0.660094133
0,0.079355853
0,0.090463057
1,0.292869891
0,0.403998262
0,0.101280434
0,0.769124785
0,0.405226872
0,0.049774044
0,0.191667289
0,0.091865325
0,0.137237
0,0.103250795
0,0.03222589
1,0.617571729
1,0.169378061
0,0.266798833
0,0.156016254
0,0.076838265
0,0.476733851
0,0.613247418
0,0.063008782
1,0.3995869
0,0.43978839
0,0.131695363
0,0.42660229
0,0.08072772
0,0.648219698
1,0.744363028
0,0.224992201
1,0.761040877
1,0.496260399
0,0.814536525
1,0.138292639
1,0.870204142
1,0.125168287
0,0.063092358
0,0.344781906
1,0.447544364
0,0.086958042
0,0.140119906
0,0.311162563
1,0.3100793
0,0.129264415
0,0.077233932
0,0.082356355
0,0.035089736
0,0.210905351
0,0.1315178
0,0.16536315
0,0.40215778
0,0.135194161
0,0.12981489
0,0.625377174
0,0.055087312
0,0.569188604
1,0.315489883
0,0.791073798
0,0.425093801
1,0.414144138
1,0.219713316
1,0.073169004
0,0.123606707
1,0.118087559
0,0.040568895
0,0.548905143
0,0.180775488
1,0.976260049
1,0.638277316
0,0.068885968
1,0.36232347
0,0.158062587
0,0.276950143
0,0.072629061
0,0.043663998
0,0.194983477
0,0.084773148
1,0.928193285
0,0.155997645
0,0.943722267
0,0.131840119
0,0.1882654
0,0.731924794
0,0.594731411
0,0.210565813
0,0.098909244
0,0.104972407
0,0.217688954
0,0.088521957
0,0.142622212
1,0.691066436
0,0.212412231
1,0.235793277
